inchikey	name	is_drug	evidence	moa	support	lpv_5	lpv_4	lpv_3	top1_inchikey	top2_inchikey	top3_inchikey	top1_name	top2_name	top3_name
BEMFOVSLUQIMMU-UHFFFAOYSA-N	Smr000451119	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
SLTKADCMEWMODA-UFFVCSGVSA-N	Mls001139265	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
CRSZEDOZGJPOHP-UHFFFAOYSA-N	26-dibromo-4-phenoxyphenol	1	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
BYMBXVDUMFYTBP-UHFFFAOYSA-N	Chembl2204757	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
NMONIVDHRRRWGP-UHFFFAOYSA-N	F1736-0861	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
IEFSLWBEJOZUNQ-UHFFFAOYSA-N	Nsc689000	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
JAPBALWUJAIERZ-UHFFFAOYSA-N	Gnf-Pf-3651	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
IEAWAELQXKPWMK-XUTLUUPISA-N	Chembl264197	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
SPHURQMCZFEADU-UHFFFAOYSA-N	Chembl2347358	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
LKZYFKFAKABQJN-UHFFFAOYSA-N	Chembl163144	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N	UCJGJABZCDBEDK-UHFFFAOYSA-N		Umifenovir	Bazedoxifene	
DGTIEXDBQRVGSQ-UHFFFAOYSA-N	Ethyl 1-Benzyl-5-Hydroxy-2-Methyl-1H-Indole-3-Carboxylate	0	-2	-2	4	0	0	1	UCJGJABZCDBEDK-UHFFFAOYSA-N	KCFYEAOKVJSACF-UHFFFAOYSA-N		Bazedoxifene	Umifenovir	
PVZLSZVJARPVTO-UHFFFAOYSA-N	F1821-0486	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
BRWYIVVRBSLDDK-UHFFFAOYSA-N	Mls000685459	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
XYJIAOBZIHRGLX-UHFFFAOYSA-N	Chembl171575	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
LDKXUCOQMBFBAS-UHFFFAOYSA-N	Stk160916	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
NFLNLUVIAALVQM-UHFFFAOYSA-N	Chembl519847	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
VRXBYMJLBWZPCK-UHFFFAOYSA-N	Ac1Mfrzu	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
ZTXSVCNYFKOGBX-UHFFFAOYSA-N	Iw1	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N	ACGUYXCXAPNIKK-UHFFFAOYSA-N		Umifenovir	Hexachlorophene	
UMRHYDBDVRJOIR-UHFFFAOYSA-N	Chembl2420420	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
AFWUHDKGNJUUKF-UHFFFAOYSA-N	Nsc720180	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
XSBSXJAYEPDGSF-UHFFFAOYSA-N	2436-79-5	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
GLTFOWODAVBTIS-UHFFFAOYSA-N	Ac1M35F6	0	-2	-2	4	0	0	1	XFCLJVABOIYOMF-QPLCGJKRSA-N	KCFYEAOKVJSACF-UHFFFAOYSA-N		Toremifene	Umifenovir	
GLWJXRWRWISHMX-UHFFFAOYSA-N	6969-14-8	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
