inchikey,name,is drug,evidence,moa,support,p 1e-5,p 1e-4,p 1e-3,top1_inchikey,top2_inchikey,top3_inchikey,top1_name,top2_name,top3_name
ILZBTXJTJLPKLA-UHFFFAOYSA-N,2-Hydroxy-N-(4-Methyl-2-Nitrophenyl)-3-Nitrobenzamide,0,-2,-2,4,0,0,1,RJMUSRYZPJIFPJ-UHFFFAOYSA-N,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,Niclosamide,Levamisole,
HEUPJLHGYWGTAY-UHFFFAOYSA-N,"N-[4-[(2,6-Dimethylpyrimidin-4-Yl)Sulfamoyl]Phenyl]-5-Nitrothiophene-2-Carboxamide",0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
RVGDGOMVFQFGEW-ZVHZXABRSA-N,Mls000585760,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
YPBDGKTVHIVAJT-UHFFFAOYSA-N,"N-(1,3-Benzodioxol-5-Yl)-2-Methoxybenzamide",0,-2,-2,4,0,0,1,AHOUBRCZNHFOSL-YOEHRIQHSA-N,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,Paroxetine,Levamisole,
SHKJQTZTCDTSSK-UHFFFAOYSA-N,Mls001212293,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
NADWIAYODRTLEL-UHFFFAOYSA-N,N-[4-(Benzylsulfamoyl)Phenyl]-2-Nitrobenzamide,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
GERFCFCAFVHXCD-UHFFFAOYSA-N,"N-(5-Ethyl-1,3,4-Thiadiazol-2-Yl)-2,4-Dimethoxybenzamide",0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
LTCNLKXWBQKMDN-QGOAFFKASA-N,Mls000555595,0,-2,-2,4,0,0,1,JRURYQJSLYLRLN-BJMVGYQFSA-N,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,Entacapone,Levamisole,
MFOGNJYOFXBQAN-UHFFFAOYSA-N,Ac1Olo0U,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
OUEURLCXHDZUSM-UHFFFAOYSA-N,St50891568,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
VPGXMBRVCLRBNG-UHFFFAOYSA-N,Chembl155391,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
UVRSRDSBVCZOIT-UHFFFAOYSA-N,2-[2-Nitro-4-(Trifluoromethyl)Phenoxy]-N-Phenylbenzamide,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
FKKYYOCRHBFNMW-UHFFFAOYSA-N,Mls000526109,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
LLWZXQIDNXFYKF-UHFFFAOYSA-N,Ac1M7M5N,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
KSIHCILAHOQHHS-UHFFFAOYSA-N,2-Nitro-N'-{2-Nitrobenzoyl}Benzenesulfonohydrazide,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
ILNFAGURYJOSOH-UHFFFAOYSA-N,Chembl3322840,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
XPMPBGFRTRJTGX-UHFFFAOYSA-N,Schembl15580260,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
