inchikey,name,is drug,evidence,moa,support,p 1e-5,p 1e-4,p 1e-3,top1_inchikey,top2_inchikey,top3_inchikey,top1_name,top2_name,top3_name
VIAHQDYTSXHVMJ-UHFFFAOYSA-N,Chembl286858,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
NUVMBGUAJRRXST-UHFFFAOYSA-N,Bdbm50016648,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
OLKIXQGJDUXXTC-UHFFFAOYSA-N,Chembl239440,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
AMMUSGBZUXCBIC-UHFFFAOYSA-N,Chembl311679,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
BEVCFRPRMCYQIE-UHFFFAOYSA-N,Chembl433898,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
ALFVGZFBEKKEJT-UHFFFAOYSA-N,Chembl8370,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
SPLMGGIJFIXMGO-UHFFFAOYSA-N,CID13312626,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
GOEUHBJSLVMWJJ-UHFFFAOYSA-N,Schembl9043025,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
AWYKKLWCTAPMDK-UHFFFAOYSA-N,6-(Benzothiazole-2-Sulfonyl)-2H-Pyridazin-3-One,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
KIQWCLYGOZDPJC-UHFFFAOYSA-N,Chembl110849,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
FTLDRYVWCIPFPB-UHFFFAOYSA-N,Chembl148918,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
LSCHLGLZRJDCHN-UHFFFAOYSA-N,Chembl1668045,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
CJEMVAAEQWZJFG-UHFFFAOYSA-N,St50630743,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
PJGMFCLYZJAAEP-UHFFFAOYSA-N,"Gossylic Nitrile-1,1'-Diacetate",0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
RIZZFSBARAUMFG-UHFFFAOYSA-N,Chembl109497,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
DDADXEQGUNIKPT-UHFFFAOYSA-N,Chembl440567,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
UMROJVTVEZTZQH-BQVZVJNFSA-N,UMROJVTVEZTZQH-BQVZVJNFSA-N,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
ABPAJGQYMSRKLV-UHFFFAOYSA-N,Chembl1946959,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
AIDUVQSRLOCSLR-UHFFFAOYSA-N,Chembl8607,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
OKAMCOXTUSQTGW-UHFFFAOYSA-N,Chembl355148,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
OEZBOMQUGSTKSP-REZKKALRSA-N,Chembl308882,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
DLZBAQHHNKCANC-UHFFFAOYSA-N,Chembl19873,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
UPKDMDBBWGBAJE-UHFFFAOYSA-N,Chembl142110,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
HMVAUYQQSPIFND-UHFFFAOYSA-N,Schembl444349,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
HISRVAKDDGMVRI-UHFFFAOYSA-N,Chembl349910,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
OHIQWUCZXVSXEG-UHFFFAOYSA-N,Chembl279666,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
WLKMUEVLHFKBMR-UHFFFAOYSA-N,Chembl19966,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
XSHTXZXPLDNDKC-UHFFFAOYSA-N,Chembl278991,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
UJMQFGRICYQUNT-UHFFFAOYSA-N,Zinc100661653,0,-2,-2,4,0,0,1,DOMXUEMWDBAQBQ-UHFFFAOYSA-N,GLVAUDGFNGKCSF-UHFFFAOYSA-N,JYWIYHUXVMAGLG-UHFFFAOYSA-N,Terbinafine,Mercaptopurine,Oxyclozanide
MBACDSZRAROZOL-UHFFFAOYSA-N,Bdbm50016654,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
NEFZRUQWIIKRDW-UHFFFAOYSA-N,Schembl443785,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
JMPPCJRGCSBKMF-UHFFFAOYSA-N,St50630259,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
VHWBCKDVYVZISE-GCXOYZPQSA-N,Chembl54342,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
WGSUFIBFKNDTGJ-UHFFFAOYSA-N,Chembl240871,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
WGSTWZUKTXSKQE-UHFFFAOYSA-N,Schembl420980,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
HJYHQUAVPCYWBM-UHFFFAOYSA-N,Chembl69183,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
NTYVMINGFZUTQC-UHFFFAOYSA-N,Chembl334916,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
OAIUSPVUOPBGKV-UHFFFAOYSA-N,Chembl67922,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
ZALOAWGPQFUOEP-UHFFFAOYSA-N,Chembl308216,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
WDRVTCRFDNMCBL-XGBNDESESA-N,Chembl261703,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
FTOPUXSQPJZAPX-UHFFFAOYSA-N,Chembl417680,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
IIJIHXLFACGVFB-UHFFFAOYSA-N,F0777-0128,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
GXKYTAXEKMUUPO-DAFODLJHSA-N,Chembl2297683,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
KJPABNWHOUDAIW-UHFFFAOYSA-N,Chembl62685,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
MWKZXPWXMCRIES-UHFFFAOYSA-N,Chembl356286,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
DYNHZTFLLXJYDQ-UHFFFAOYSA-N,Schembl445659,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
QCVNMNYRNIMDKV-QGZVFWFLSA-N,Ranirestat,1,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
